timestamp,device_id,data_type,data_value,numeric_value
2025-06-17 06:55:41,Safe_507,Ozone Concentration (o3),0.043,0.043
2025-06-17 06:55:43,Safe_507,Nitrogen Dioxide Concentration (no2),21,21.0
2025-06-17 06:55:44,Safe_507,Sulfur Dioxide Concentration (so2),563,563.0
2025-06-17 06:55:45,Safe_507,Carbon Monoxide Concentration (co),6.56,6.56
2025-06-17 06:55:46,Safe_507,Water Quality Index,186,186.0
2025-06-17 06:55:47,Safe_507,Water pH Level,9.16,9.16
2025-06-17 06:55:48,Safe_507,Water Turbidity,24.1,24.1
2025-06-17 06:55:49,Safe_507,Contamination Level,161,161.0
2025-06-17 06:55:50,Season_776,Temperature (°C),23.4,23.4
2025-06-17 06:55:51,Season_776,Humidity (%),63,63.0
2025-06-17 06:55:52,Season_776,Air Quality Index (AQI),61,61.0
2025-06-17 06:55:54,Season_776,Soil Moisture (%),20,20.0
2025-06-17 06:55:55,Season_776,Particulate Matter 2.5 Micrometers (pm2.5),493,493.0
2025-06-17 06:55:56,Season_776,Particulate Matter 10 Micrometers (pm10),515,515.0
2025-06-17 06:55:57,Season_776,Ozone Concentration (o3),0.248,0.248
2025-06-17 06:55:58,Season_776,Nitrogen Dioxide Concentration (no2),490,490.0
2025-06-17 06:55:59,Season_776,Sulfur Dioxide Concentration (so2),960,960.0
2025-06-17 06:56:00,Season_776,Carbon Monoxide Concentration (co),44.03,44.03
2025-06-17 06:56:01,Season_776,Water Quality Index,43,43.0
2025-06-17 06:56:02,Season_776,Water pH Level,6.53,6.53
2025-06-17 06:56:03,Season_776,Water Turbidity,45.5,45.5
2025-06-17 06:56:05,Season_776,Contamination Level,17,17.0
2025-06-17 06:56:06,Perhaps_581,Temperature (°C),27.0,27.0
2025-06-17 06:56:07,Perhaps_581,Humidity (%),67,67.0
2025-06-17 06:56:08,Perhaps_581,Air Quality Index (AQI),60,60.0
2025-06-17 06:56:09,Perhaps_581,Soil Moisture (%),19,19.0
2025-06-17 06:56:10,Perhaps_581,Particulate Matter 2.5 Micrometers (pm2.5),99,99.0
2025-06-17 06:56:11,Perhaps_581,Particulate Matter 10 Micrometers (pm10),177,177.0
2025-06-17 06:56:12,Perhaps_581,Ozone Concentration (o3),0.007,0.007
2025-06-17 06:56:13,Perhaps_581,Nitrogen Dioxide Concentration (no2),428,428.0
2025-06-17 06:56:15,Perhaps_581,Sulfur Dioxide Concentration (so2),483,483.0
2025-06-17 06:56:16,Perhaps_581,Carbon Monoxide Concentration (co),22.41,22.41
2025-06-17 06:56:17,Perhaps_581,Water Quality Index,358,358.0
2025-06-17 06:56:18,Perhaps_581,Water pH Level,6.96,6.96
2025-06-17 06:56:19,Perhaps_581,Water Turbidity,52.2,52.2
2025-06-17 06:56:20,Perhaps_581,Contamination Level,148,148.0
2025-06-17 06:56:21,Best_810,Temperature (°C),22.2,22.2
2025-06-17 06:56:22,Best_810,Humidity (%),68,68.0
2025-06-17 06:56:23,Best_810,Air Quality Index (AQI),87,87.0
2025-06-17 06:56:24,Best_810,Soil Moisture (%),16,16.0
2025-06-17 06:56:25,Best_810,Particulate Matter 2.5 Micrometers (pm2.5),441,441.0
2025-06-17 06:56:27,Best_810,Particulate Matter 10 Micrometers (pm10),431,431.0
2025-06-17 06:56:28,Best_810,Ozone Concentration (o3),0.171,0.171
2025-06-17 06:56:29,Best_810,Nitrogen Dioxide Concentration (no2),31,31.0
2025-06-17 06:56:30,Best_810,Sulfur Dioxide Concentration (so2),425,425.0
2025-06-17 06:56:31,Best_810,Carbon Monoxide Concentration (co),25.15,25.15
2025-06-17 06:56:32,Best_810,Water Quality Index,111,111.0
2025-06-17 06:56:33,Best_810,Water pH Level,7.06,7.06
2025-06-17 06:56:34,Best_810,Water Turbidity,74.5,74.5
2025-06-17 06:56:35,Best_810,Contamination Level,427,427.0
2025-06-17 06:56:36,Significant_538,Temperature (°C),23.2,23.2
2025-06-17 06:56:38,Significant_538,Humidity (%),52,52.0
2025-06-17 06:56:39,Significant_538,Air Quality Index (AQI),140,140.0
2025-06-17 06:56:40,Significant_538,Soil Moisture (%),28,28.0
2025-06-17 06:56:41,Significant_538,Particulate Matter 2.5 Micrometers (pm2.5),68,68.0
2025-06-17 06:56:42,Significant_538,Particulate Matter 10 Micrometers (pm10),574,574.0
2025-06-17 06:56:43,Significant_538,Ozone Concentration (o3),0.086,0.086
2025-06-17 06:56:44,Significant_538,Nitrogen Dioxide Concentration (no2),523,523.0
2025-06-17 06:56:45,Significant_538,Sulfur Dioxide Concentration (so2),35,35.0
2025-06-17 06:56:46,Significant_538,Carbon Monoxide Concentration (co),40.42,40.42
2025-06-17 06:56:47,Significant_538,Water Quality Index,41,41.0
2025-06-17 06:56:49,Significant_538,Water pH Level,7.0,7.0
2025-06-17 06:56:50,Significant_538,Water Turbidity,84.5,84.5
2025-06-17 06:56:51,Significant_538,Contamination Level,269,269.0
2025-06-17 06:56:52,Remember_388,Temperature (°C),28.6,28.6
2025-06-17 06:56:53,Remember_388,Humidity (%),64,64.0
2025-06-17 06:56:54,Remember_388,Air Quality Index (AQI),143,143.0
2025-06-17 06:56:55,Remember_388,Soil Moisture (%),24,24.0
2025-06-17 06:56:56,Remember_388,Particulate Matter 2.5 Micrometers (pm2.5),196,196.0
2025-06-17 06:56:57,Remember_388,Particulate Matter 10 Micrometers (pm10),147,147.0
2025-06-17 06:56:59,Remember_388,Ozone Concentration (o3),0.057,0.057
2025-06-17 06:57:00,Remember_388,Nitrogen Dioxide Concentration (no2),1603,1603.0
2025-06-17 06:57:01,Remember_388,Sulfur Dioxide Concentration (so2),569,569.0
2025-06-17 06:57:02,Remember_388,Carbon Monoxide Concentration (co),50.36,50.36
2025-06-17 06:57:03,Remember_388,Water Quality Index,123,123.0
2025-06-17 06:57:04,Remember_388,Water pH Level,5.38,5.38
2025-06-17 06:57:05,Remember_388,Water Turbidity,25.9,25.9
2025-06-17 06:57:06,Remember_388,Contamination Level,207,207.0
2025-06-17 06:57:07,List_203,Temperature (°C),28.1,28.1
2025-06-17 06:57:08,List_203,Humidity (%),71,71.0
2025-06-17 06:57:09,List_203,Air Quality Index (AQI),164,164.0
2025-06-17 06:57:11,List_203,Soil Moisture (%),19,19.0
2025-06-17 06:57:12,List_203,Particulate Matter 2.5 Micrometers (pm2.5),481,481.0
2025-06-17 06:57:13,List_203,Particulate Matter 10 Micrometers (pm10),569,569.0
2025-06-17 06:57:14,List_203,Ozone Concentration (o3),0.022,0.022
2025-06-17 06:57:15,List_203,Nitrogen Dioxide Concentration (no2),430,430.0
2025-06-17 06:57:16,List_203,Sulfur Dioxide Concentration (so2),393,393.0
2025-06-17 06:57:17,List_203,Carbon Monoxide Concentration (co),36.0,36.0
2025-06-17 06:57:18,List_203,Water Quality Index,359,359.0
2025-06-17 06:57:19,List_203,Water pH Level,6.29,6.29
2025-06-17 06:57:20,List_203,Water Turbidity,55.5,55.5
2025-06-17 06:57:22,List_203,Contamination Level,424,424.0
2025-06-17 06:57:23,Rise_602,Temperature (°C),27.5,27.5
2025-06-17 06:57:24,Rise_602,Humidity (%),75,75.0
2025-06-17 06:57:25,Rise_602,Air Quality Index (AQI),91,91.0
2025-06-17 06:57:26,Rise_602,Soil Moisture (%),26,26.0
2025-06-17 06:57:27,Rise_602,Particulate Matter 2.5 Micrometers (pm2.5),31,31.0
2025-06-17 06:57:28,Rise_602,Particulate Matter 10 Micrometers (pm10),477,477.0
2025-06-17 06:57:29,Rise_602,Ozone Concentration (o3),0.225,0.225
2025-06-17 06:57:30,Rise_602,Nitrogen Dioxide Concentration (no2),1013,1013.0
2025-06-17 06:57:31,Rise_602,Sulfur Dioxide Concentration (so2),126,126.0
2025-06-17 06:57:33,Rise_602,Carbon Monoxide Concentration (co),7.92,7.92
2025-06-17 06:57:34,Rise_602,Water Quality Index,58,58.0
2025-06-17 06:57:35,Rise_602,Water pH Level,6.36,6.36
2025-06-17 06:57:36,Rise_602,Water Turbidity,32.5,32.5
2025-06-17 06:57:37,Rise_602,Contamination Level,227,227.0
2025-06-17 06:57:38,How_713,Temperature (°C),26.7,26.7
2025-06-17 06:57:39,How_713,Humidity (%),66,66.0
2025-06-17 06:57:40,How_713,Air Quality Index (AQI),71,71.0
2025-06-17 06:57:41,How_713,Soil Moisture (%),15,15.0
2025-06-17 06:57:42,How_713,Particulate Matter 2.5 Micrometers (pm2.5),75,75.0
2025-06-17 06:57:43,How_713,Particulate Matter 10 Micrometers (pm10),353,353.0
2025-06-17 06:57:45,How_713,Ozone Concentration (o3),0.219,0.219
2025-06-17 06:57:46,How_713,Nitrogen Dioxide Concentration (no2),47,47.0
2025-06-17 06:57:47,How_713,Sulfur Dioxide Concentration (so2),545,545.0
2025-06-17 06:57:48,How_713,Carbon Monoxide Concentration (co),38.41,38.41
2025-06-17 06:57:49,How_713,Water Quality Index,232,232.0
2025-06-17 06:57:50,How_713,Water pH Level,7.24,7.24
2025-06-17 06:57:51,How_713,Water Turbidity,25.8,25.8
2025-06-17 06:57:52,How_713,Contamination Level,380,380.0
2025-06-17 06:57:53,Claim_669,Temperature (°C),34.0,34.0
2025-06-17 06:57:54,Claim_669,Humidity (%),56,56.0
2025-06-17 06:57:56,Claim_669,Air Quality Index (AQI),78,78.0
2025-06-17 06:57:57,Claim_669,Soil Moisture (%),17,17.0
2025-06-17 06:57:58,Claim_669,Particulate Matter 2.5 Micrometers (pm2.5),395,395.0
2025-06-17 06:57:59,Claim_669,Particulate Matter 10 Micrometers (pm10),325,325.0
2025-06-17 06:58:00,Claim_669,Ozone Concentration (o3),0.039,0.039
2025-06-17 06:58:01,Claim_669,Nitrogen Dioxide Concentration (no2),447,447.0
2025-06-17 06:58:02,Claim_669,Sulfur Dioxide Concentration (so2),333,333.0
2025-06-17 06:58:03,Claim_669,Carbon Monoxide Concentration (co),26.32,26.32
2025-06-17 06:58:04,Claim_669,Water Quality Index,240,240.0
2025-06-17 06:58:05,Claim_669,Water pH Level,6.5,6.5
2025-06-17 06:58:07,Claim_669,Water Turbidity,8.8,8.8
2025-06-17 06:58:08,Claim_669,Contamination Level,76,76.0
2025-06-17 06:58:09,Scientist_512,Temperature (°C),27.3,27.3
2025-06-17 06:58:10,Scientist_512,Humidity (%),77,77.0
2025-06-17 06:58:11,Scientist_512,Air Quality Index (AQI),172,172.0
2025-06-17 06:58:12,Scientist_512,Soil Moisture (%),27,27.0
2025-06-17 06:58:13,Scientist_512,Particulate Matter 2.5 Micrometers (pm2.5),301,301.0
2025-06-17 06:58:14,Scientist_512,Particulate Matter 10 Micrometers (pm10),598,598.0
2025-06-17 06:58:15,Scientist_512,Ozone Concentration (o3),0.05,0.05
2025-06-17 06:58:17,Scientist_512,Nitrogen Dioxide Concentration (no2),1671,1671.0
2025-06-17 06:58:18,Scientist_512,Sulfur Dioxide Concentration (so2),806,806.0
2025-06-17 06:58:19,Scientist_512,Carbon Monoxide Concentration (co),42.3,42.3
2025-06-17 06:58:20,Scientist_512,Water Quality Index,249,249.0
2025-06-17 06:58:21,Scientist_512,Water pH Level,9.09,9.09
2025-06-17 06:58:22,Scientist_512,Water Turbidity,74.6,74.6
2025-06-17 06:58:23,Scientist_512,Contamination Level,334,334.0
2025-06-17 06:58:24,City_954,Temperature (°C),24.5,24.5
2025-06-17 06:58:26,City_954,Humidity (%),41,41.0
2025-06-17 06:58:27,City_954,Air Quality Index (AQI),100,100.0
2025-06-17 06:58:28,City_954,Soil Moisture (%),16,16.0
2025-06-17 06:58:29,City_954,Particulate Matter 2.5 Micrometers (pm2.5),436,436.0
2025-06-17 06:58:30,City_954,Particulate Matter 10 Micrometers (pm10),568,568.0
2025-06-17 06:58:31,City_954,Ozone Concentration (o3),0.053,0.053
2025-06-17 06:58:32,City_954,Nitrogen Dioxide Concentration (no2),342,342.0
2025-06-17 06:58:33,City_954,Sulfur Dioxide Concentration (so2),451,451.0
2025-06-17 06:58:34,City_954,Carbon Monoxide Concentration (co),34.08,34.08
2025-06-17 06:58:35,City_954,Water Quality Index,42,42.0
2025-06-17 06:58:36,City_954,Water pH Level,8.55,8.55
2025-06-17 06:58:38,City_954,Water Turbidity,29.0,29.0
2025-06-17 06:58:39,City_954,Contamination Level,315,315.0
2025-06-17 06:58:40,Development_954,Temperature (°C),21.7,21.7
2025-06-17 06:58:41,Development_954,Humidity (%),43,43.0
2025-06-17 06:58:42,Development_954,Air Quality Index (AQI),96,96.0
2025-06-17 06:58:43,Development_954,Soil Moisture (%),25,25.0
2025-06-17 06:58:44,Development_954,Particulate Matter 2.5 Micrometers (pm2.5),200,200.0
2025-06-17 06:58:45,Development_954,Particulate Matter 10 Micrometers (pm10),45,45.0
2025-06-17 06:58:46,Development_954,Ozone Concentration (o3),0.032,0.032
2025-06-17 06:58:47,Development_954,Nitrogen Dioxide Concentration (no2),685,685.0
2025-06-17 06:58:48,Development_954,Sulfur Dioxide Concentration (so2),782,782.0
2025-06-17 06:58:50,Development_954,Carbon Monoxide Concentration (co),14.91,14.91
2025-06-17 06:58:51,Development_954,Water Quality Index,398,398.0
2025-06-17 06:58:52,Development_954,Water pH Level,6.29,6.29
2025-06-17 06:58:53,Development_954,Water Turbidity,52.5,52.5
2025-06-17 06:58:54,Development_954,Contamination Level,16,16.0
2025-06-17 06:58:55,Ok_697,Temperature (°C),33.8,33.8
2025-06-17 06:58:56,Ok_697,Humidity (%),60,60.0
2025-06-17 06:58:57,Ok_697,Air Quality Index (AQI),94,94.0
2025-06-17 06:58:58,Ok_697,Soil Moisture (%),20,20.0
2025-06-17 06:58:59,Ok_697,Particulate Matter 2.5 Micrometers (pm2.5),363,363.0
2025-06-17 06:59:01,Ok_697,Particulate Matter 10 Micrometers (pm10),203,203.0
2025-06-17 06:59:02,Ok_697,Ozone Concentration (o3),0.233,0.233
2025-06-17 06:59:03,Ok_697,Nitrogen Dioxide Concentration (no2),1995,1995.0
2025-06-17 06:59:04,Ok_697,Sulfur Dioxide Concentration (so2),44,44.0
2025-06-17 06:59:05,Ok_697,Carbon Monoxide Concentration (co),16.81,16.81
2025-06-17 06:59:06,Ok_697,Water Quality Index,334,334.0
2025-06-17 06:59:07,Ok_697,Water pH Level,6.34,6.34
2025-06-17 06:59:08,Ok_697,Water Turbidity,11.8,11.8
2025-06-17 06:59:09,Ok_697,Contamination Level,88,88.0
2025-06-17 06:59:10,We_589,Temperature (°C),23.4,23.4
2025-06-17 06:59:12,We_589,Humidity (%),62,62.0
2025-06-17 06:59:13,We_589,Air Quality Index (AQI),129,129.0
2025-06-17 06:59:14,We_589,Soil Moisture (%),22,22.0
2025-06-17 06:59:15,We_589,Particulate Matter 2.5 Micrometers (pm2.5),408,408.0
2025-06-17 06:59:16,We_589,Particulate Matter 10 Micrometers (pm10),32,32.0
2025-06-17 06:59:17,We_589,Ozone Concentration (o3),0.234,0.234
2025-06-17 06:59:18,We_589,Nitrogen Dioxide Concentration (no2),689,689.0
2025-06-17 06:59:19,We_589,Sulfur Dioxide Concentration (so2),99,99.0
2025-06-17 06:59:20,We_589,Carbon Monoxide Concentration (co),49.25,49.25
2025-06-17 06:59:21,We_589,Water Quality Index,283,283.0
2025-06-17 06:59:23,We_589,Water pH Level,6.3,6.3
2025-06-17 06:59:24,We_589,Water Turbidity,90.7,90.7
2025-06-17 06:59:25,We_589,Contamination Level,1,1.0
2025-06-17 06:59:26,Week_331,Temperature (°C),20.9,20.9
2025-06-17 06:59:27,Week_331,Humidity (%),46,46.0
2025-06-17 06:59:28,Week_331,Air Quality Index (AQI),119,119.0
2025-06-17 06:59:29,Week_331,Soil Moisture (%),26,26.0
2025-06-17 06:59:30,Week_331,Particulate Matter 2.5 Micrometers (pm2.5),393,393.0
2025-06-17 06:59:31,Week_331,Particulate Matter 10 Micrometers (pm10),404,404.0
2025-06-17 06:59:32,Week_331,Ozone Concentration (o3),0.015,0.015
2025-06-17 06:59:34,Week_331,Nitrogen Dioxide Concentration (no2),79,79.0
2025-06-17 06:59:35,Week_331,Sulfur Dioxide Concentration (so2),638,638.0
2025-06-17 06:59:36,Week_331,Carbon Monoxide Concentration (co),4.69,4.69
2025-06-17 06:59:37,Week_331,Water Quality Index,237,237.0
2025-06-17 06:59:38,Week_331,Water pH Level,4.24,4.24
2025-06-17 06:59:39,Week_331,Water Turbidity,19.9,19.9
2025-06-17 06:59:40,Week_331,Contamination Level,391,391.0
2025-06-17 06:59:41,She_199,Temperature (°C),22.3,22.3
2025-06-17 06:59:42,She_199,Humidity (%),69,69.0
2025-06-17 06:59:43,She_199,Air Quality Index (AQI),149,149.0
2025-06-17 06:59:45,She_199,Soil Moisture (%),20,20.0
2025-06-17 06:59:46,She_199,Particulate Matter 2.5 Micrometers (pm2.5),17,17.0
2025-06-17 06:59:47,She_199,Particulate Matter 10 Micrometers (pm10),110,110.0
2025-06-17 06:59:48,She_199,Ozone Concentration (o3),0.29,0.29
2025-06-17 06:59:49,She_199,Nitrogen Dioxide Concentration (no2),879,879.0
2025-06-17 06:59:50,She_199,Sulfur Dioxide Concentration (so2),528,528.0
2025-06-17 06:59:51,She_199,Carbon Monoxide Concentration (co),4.37,4.37
2025-06-17 06:59:52,She_199,Water Quality Index,51,51.0
2025-06-17 06:59:53,She_199,Water pH Level,8.71,8.71
2025-06-17 06:59:55,She_199,Water Turbidity,73.3,73.3
2025-06-17 06:59:56,She_199,Contamination Level,379,379.0
2025-06-17 06:59:57,None_812,Temperature (°C),26.7,26.7
2025-06-17 06:59:58,None_812,Humidity (%),68,68.0
2025-06-17 06:59:59,None_812,Air Quality Index (AQI),98,98.0
2025-06-17 07:00:00,None_812,Soil Moisture (%),24,24.0
2025-06-17 07:00:01,None_812,Particulate Matter 2.5 Micrometers (pm2.5),433,433.0
2025-06-17 07:00:02,None_812,Particulate Matter 10 Micrometers (pm10),407,407.0
2025-06-17 07:00:03,None_812,Ozone Concentration (o3),0.258,0.258
2025-06-17 07:00:04,None_812,Nitrogen Dioxide Concentration (no2),906,906.0
2025-06-17 07:00:06,None_812,Sulfur Dioxide Concentration (so2),739,739.0
2025-06-17 07:00:07,None_812,Carbon Monoxide Concentration (co),9.16,9.16
2025-06-17 07:00:08,None_812,Water Quality Index,170,170.0
2025-06-17 07:00:09,None_812,Water pH Level,4.46,4.46
2025-06-17 07:00:10,None_812,Water Turbidity,64.9,64.9
2025-06-17 07:00:11,None_812,Contamination Level,254,254.0
2025-06-17 07:00:12,Smile_153,Temperature (°C),33.0,33.0
2025-06-17 07:00:13,Smile_153,Humidity (%),59,59.0
2025-06-17 07:00:14,Smile_153,Air Quality Index (AQI),152,152.0
2025-06-17 07:00:15,Smile_153,Soil Moisture (%),22,22.0
2025-06-17 07:00:17,Smile_153,Particulate Matter 2.5 Micrometers (pm2.5),43,43.0
2025-06-17 07:00:18,Smile_153,Particulate Matter 10 Micrometers (pm10),221,221.0
2025-06-17 07:00:19,Smile_153,Ozone Concentration (o3),0.033,0.033
2025-06-17 07:00:20,Smile_153,Nitrogen Dioxide Concentration (no2),575,575.0
2025-06-17 07:00:21,Smile_153,Sulfur Dioxide Concentration (so2),22,22.0
2025-06-17 07:00:22,Smile_153,Carbon Monoxide Concentration (co),31.01,31.01
2025-06-17 07:00:23,Smile_153,Water Quality Index,58,58.0
2025-06-17 07:00:24,Smile_153,Water pH Level,4.63,4.63
2025-06-17 07:00:25,Smile_153,Water Turbidity,4.1,4.1
2025-06-17 07:00:27,Smile_153,Contamination Level,312,312.0
2025-06-17 07:00:28,If_714,Temperature (°C),26.1,26.1
2025-06-17 07:00:29,If_714,Humidity (%),40,40.0
2025-06-17 07:00:30,If_714,Air Quality Index (AQI),162,162.0
2025-06-17 07:00:31,If_714,Soil Moisture (%),28,28.0
2025-06-17 07:00:32,If_714,Particulate Matter 2.5 Micrometers (pm2.5),154,154.0
2025-06-17 07:00:33,If_714,Particulate Matter 10 Micrometers (pm10),267,267.0
2025-06-17 07:00:34,If_714,Ozone Concentration (o3),0.286,0.286
2025-06-17 07:00:35,If_714,Nitrogen Dioxide Concentration (no2),668,668.0
2025-06-17 07:00:36,If_714,Sulfur Dioxide Concentration (so2),748,748.0
2025-06-17 07:00:38,If_714,Carbon Monoxide Concentration (co),29.76,29.76
2025-06-17 07:00:39,If_714,Water Quality Index,273,273.0
2025-06-17 07:00:40,If_714,Water pH Level,6.91,6.91
2025-06-17 07:00:41,If_714,Water Turbidity,4.5,4.5
2025-06-17 07:00:42,If_714,Contamination Level,99,99.0
2025-06-17 07:00:43,Near_760,Temperature (°C),22.7,22.7
2025-06-17 07:00:44,Near_760,Humidity (%),45,45.0
2025-06-17 07:00:45,Near_760,Air Quality Index (AQI),126,126.0
2025-06-17 07:00:46,Near_760,Soil Moisture (%),15,15.0
2025-06-17 07:00:47,Near_760,Particulate Matter 2.5 Micrometers (pm2.5),225,225.0
2025-06-17 07:00:49,Near_760,Particulate Matter 10 Micrometers (pm10),421,421.0
2025-06-17 07:00:50,Near_760,Ozone Concentration (o3),0.275,0.275
2025-06-17 07:00:51,Near_760,Nitrogen Dioxide Concentration (no2),1261,1261.0
2025-06-17 07:00:52,Near_760,Sulfur Dioxide Concentration (so2),447,447.0
2025-06-17 07:00:53,Near_760,Carbon Monoxide Concentration (co),3.0,3.0
2025-06-17 07:00:54,Near_760,Water Quality Index,331,331.0
2025-06-17 07:00:55,Near_760,Water pH Level,5.56,5.56
2025-06-17 07:00:56,Near_760,Water Turbidity,7.2,7.2
2025-06-17 07:00:57,Near_760,Contamination Level,493,493.0
2025-06-17 07:00:59,Course_886,Temperature (°C),30.2,30.2
2025-06-17 07:01:00,Course_886,Humidity (%),50,50.0
2025-06-17 07:01:01,Course_886,Air Quality Index (AQI),139,139.0
2025-06-17 07:01:02,Course_886,Soil Moisture (%),15,15.0
2025-06-17 07:01:03,Course_886,Particulate Matter 2.5 Micrometers (pm2.5),188,188.0
2025-06-17 07:01:04,Course_886,Particulate Matter 10 Micrometers (pm10),283,283.0
2025-06-17 07:01:05,Course_886,Ozone Concentration (o3),0.025,0.025
2025-06-17 07:01:06,Course_886,Nitrogen Dioxide Concentration (no2),1032,1032.0
2025-06-17 07:01:07,Course_886,Sulfur Dioxide Concentration (so2),970,970.0
2025-06-17 07:01:08,Course_886,Carbon Monoxide Concentration (co),19.39,19.39
2025-06-17 07:01:10,Course_886,Water Quality Index,48,48.0
2025-06-17 07:01:11,Course_886,Water pH Level,9.44,9.44
2025-06-17 07:01:12,Course_886,Water Turbidity,15.4,15.4
2025-06-17 07:01:13,Course_886,Contamination Level,9,9.0
2025-06-17 07:01:14,Son_240,Temperature (°C),28.4,28.4
2025-06-17 07:01:15,Son_240,Humidity (%),75,75.0
2025-06-17 07:01:16,Son_240,Air Quality Index (AQI),167,167.0
2025-06-17 07:01:17,Son_240,Soil Moisture (%),25,25.0
2025-06-17 07:01:18,Son_240,Particulate Matter 2.5 Micrometers (pm2.5),172,172.0
